x,y
0,152
1,152
2,152
3,152
4,152
5,152
6,152
7,152
8,152
9,152
10,152
11,152
12,151
13,151
14,151
15,151
16,151
17,151
18,151
19,152
20,152
21,153
22,153
23,153
24,153
25,153
26,153
27,153
28,152
29,152
30,152
31,152
32,152
33,152
34,152
35,152
36,151
37,151
38,151
39,151
40,151
41,151
42,151
43,151
44,152
45,152
46,152
47,152
48,152
49,152
50,152
51,152
52,152
53,152
54,153
55,153
56,152
57,152
58,152
59,151
60,151
61,151
62,151
63,151
64,151
65,151
66,152
67,152
68,153
69,153
70,153
71,153
72,153
73,152
74,152
75,152
76,152
77,152
78,152
79,152
80,151
81,151
82,151
83,151
84,152
85,152
86,153
87,153
88,153
89,152
90,152
91,152
92,152
93,152
94,152
95,152
96,152
97,152
98,152
99,152
100,153
101,153
102,153
103,153
104,152
105,152
106,151
107,151
108,152
109,152
110,153
111,153
112,153
113,153
114,153
115,152
116,152
117,152
118,152
119,152
120,152
121,152
122,152
123,152
124,152
125,152
126,152
127,152
128,152
129,152
130,152
131,152
132,152
133,152
134,152
135,152
136,153
137,153
138,152
139,152
140,151
141,151
142,151
143,151
144,152
145,152
146,152
147,151
148,151
149,151
150,151
151,152
152,152
153,152
154,152
155,152
156,152
157,152
158,152
159,152
160,152
161,152
162,152
163,152
164,152
165,152
166,152
167,152
168,152
169,152
170,152
171,152
172,152
173,152
174,152
175,152
176,152
177,152
178,152
179,151
180,151
181,151
182,152
183,152
184,152
185,152
186,152
187,152
188,152
189,151
190,152
191,152
192,152
193,152
194,152
195,152
196,152
197,152
198,152
199,152
200,152
201,152
202,152
203,152
204,152
205,151
206,151
207,151
208,151
209,151
210,152
211,152
212,152
213,152
214,152
215,152
216,152
217,153
218,152
219,152
220,152
221,151
222,151
223,151
224,151
225,151
226,151
227,151
228,151
229,152
230,152
231,152
232,152
233,152
234,152
235,153
236,154
237,155
238,158
239,162
240,165
241,169
242,172
243,178
244,180
245,186
246,188
247,191
248,194
249,199
250,201
251,207
252,213
253,216
254,219
255,221
256,225
257,228
258,232
259,236
260,239
261,245
262,248
263,252
264,255
265,260
266,263
267,266
268,269
269,275
270,279
271,283
272,285
273,287
274,293
275,297
276,300
277,302
278,306
279,311
280,315
281,319
282,321
283,324
284,332
285,335
286,337
287,340
288,346
289,348
290,351
291,356
292,358
293,364
294,367
295,370
296,376
297,379
298,383
299,467
300,475
301,478
302,485
303,496
304,498
305,500
306,502
307,505
308,506
309,508
310,509
311,511
312,513
313,514
314,515
315,516
316,518
317,521
318,524
319,525
320,527
321,528
322,531
323,533
324,535
325,537
326,538
327,540
328,541
329,542
330,542
331,544
332,545
333,547
334,548
335,550
336,552
337,553
338,553
339,554
340,555
341,556
342,557
343,558
344,559
345,560
346,561
347,561
348,561
349,561
350,561
351,561
352,560
353,560
354,559
355,559
356,558
357,557
358,556
359,555
360,554
361,553
362,552
363,552
364,551
365,551
366,549
367,548
368,547
369,545
370,544
371,542
372,541
373,535
374,533
375,532
376,528
377,525
378,522
379,520
380,518
381,517
382,516
383,516
384,517
385,517
386,517
387,516
388,516
389,515
390,514
391,512
392,511
393,510
394,509
395,507
396,507
397,507
398,507
399,508
400,508
401,507
402,507
403,507
404,507
405,507
406,508
407,508
408,508
409,507
410,507
411,507
412,506
413,506
414,505
415,504
416,504
417,503
418,503
419,503
420,503
421,503
422,503
423,503
424,504
425,504
426,504
427,505
428,506
429,507
430,508
431,509
432,510
433,510
434,511
435,511
436,511
437,510
438,510
439,509
440,508
441,507
442,506
443,505
444,504
445,503
446,503
447,503
448,502
449,502
450,502
451,502
452,503
453,504
454,505
455,506
456,506
457,506
458,505
459,505
460,503
461,502
462,501
463,501
464,501
465,502
466,502
467,503
468,503
469,504
470,504
471,504
472,504
473,504
474,504
475,504
476,504
477,503
478,503
479,502
480,502
481,502
482,502
483,502
484,503
485,504
486,505
487,505
488,506
489,506
490,506
491,507
492,507
493,508
494,508
495,509
496,510
497,511
498,511
499,512
500,512
501,512
502,512
503,511
504,511
505,510
506,510
507,510
508,509
509,509
510,508
511,508
512,507
513,507
514,506
515,506
516,506
517,506
518,505
519,505
520,504
521,503
522,501
523,500
524,499
525,499
526,498
527,498
528,499
529,499
530,500
531,501
532,501
533,502
534,502
535,502
536,502
537,501
538,502
539,502
540,503
541,504
542,505
543,506
544,506
545,506
546,506
547,505
548,505
549,504
550,502
551,501
552,501
553,501
554,501
555,503
556,504
557,504
558,504
559,504
560,504
561,504
562,504
563,505
564,505
565,505
566,505
567,505
568,505
569,505
570,505
571,505
572,505
573,505
574,505
575,505
576,506
577,506
578,506
579,506
580,507
581,507
582,507
583,507
584,508
585,507
586,507
587,507
588,507
589,507
590,507
591,507
592,507
593,506
594,506
595,505
596,505
597,505
598,504
599,504
600,505
601,505
602,505
603,506
604,506
605,506
606,506
607,506
608,505
609,505
610,505
611,505
612,506
613,507
614,508
615,509
616,510
617,522
618,528
619,532
620,535
621,537
622,539
623,541
624,544
625,553
626,558
627,560
628,562
629,562
630,563
631,562
632,562
633,563
634,564
635,567
636,568
637,569
638,570
639,570
640,570
641,569
642,569
643,569
644,569
645,569
646,569
647,568
648,567
649,566
650,565
651,565
652,565
653,565
654,566
655,566
656,567
657,567
658,567
659,566
660,566
661,564
662,563
663,561
664,556
665,554
666,551
667,549
668,546
669,543
670,539
671,537
672,536
673,535
674,534
675,532
676,530
677,527
678,525
679,525
680,524
681,524
682,524
683,525
684,525
685,525
686,524
687,524
688,523
689,522
690,520
691,516
692,512
693,510
694,508
695,506
696,504
697,500
698,490
699,484
700,472
701,467
702,381
703,378
704,375
705,370
706,365
707,363
708,358
709,354
710,352
711,349
712,345
713,340
714,337
715,335
716,331
717,328
718,321
719,319
720,315
721,313
722,311
723,303
724,299
725,295
726,293
727,289
728,285
729,280
730,277
731,273
732,270
733,266
734,262
735,257
736,254
737,251
738,248
739,244
740,239
741,236
742,234
743,228
744,224
745,220
746,216
747,212
748,208
749,205
750,202
751,198
752,195
753,192
754,189
755,185
756,183
757,175
758,173
759,170
760,166
761,163
762,158
763,155
764,153
765,152
766,152
767,152
768,152
769,151
770,152
771,152
772,152
773,152
774,152
775,152
776,151
777,151
778,151
779,151
780,151
781,151
782,151
783,151
784,151
785,151
786,151
787,152
788,152
789,152
790,152
791,151
792,151
793,151
794,151
795,151
796,151
797,152
798,152
799,152
800,152
801,152
802,152
803,151
804,151
805,151
806,151
807,151
808,152
809,152
810,152
811,152
812,152
813,153
814,153
815,153
816,153
817,153
818,153
819,153
820,153
821,153
822,153
823,153
824,153
825,153
826,153
827,153
828,152
829,152
830,152
831,152
832,152
833,152
834,152
835,151
836,151
837,152
838,152
839,152
840,152
841,152
842,151
843,151
844,151
845,151
846,151
847,151
848,151
849,151
850,151
851,152
852,152
853,153
854,153
855,152
856,152
857,152
858,152
859,152
860,152
861,152
862,152
863,152
864,152
865,152
866,152
867,152
868,152
869,152
870,152
871,151
872,151
873,151
874,151
875,151
876,151
877,151
878,152
879,152
880,152
881,152
882,151
883,151
884,151
885,151
886,151
887,151
888,151
889,151
890,151
891,151
892,151
893,152
894,152
895,152
896,152
897,152
898,152
899,151
900,151
901,151
902,151
903,151
904,151
905,151
906,151
907,151
908,151
909,151
910,151
911,151
912,151
913,151
914,151
915,151
916,152
917,152
918,152
919,152
920,152
921,151
922,151
923,151
924,151
925,151
926,151
927,151
928,151
929,151
930,151
931,151
932,152
933,152
934,152
935,152
936,152
937,152
938,152
939,152
940,152
941,152
942,152
943,151
944,151
945,151
946,151
947,151
948,152
949,152
950,152
951,152
952,152
953,152
954,152
955,152
956,152
957,152
958,152
959,151
960,151
961,151
962,151
963,151
964,151
965,151
966,151
967,151
968,151
969,152
970,152
971,152
972,152
973,152
974,152
975,152
976,152
977,152
978,152
979,152
980,152
981,152
982,152
983,152
984,152
985,152
986,152
987,152
988,152
989,152
990,152
991,152
992,152
993,152
994,152
995,152
996,152
997,152
998,152
999,152
