x,y
0,102
1,102
2,103
3,103
4,103
5,103
6,103
7,103
8,105
9,106
10,108
11,109
12,109
13,110
14,109
15,109
16,108
17,106
18,106
19,105
20,104
21,103
22,102
23,102
24,101
25,101
26,101
27,101
28,102
29,102
30,103
31,103
32,104
33,104
34,104
35,105
36,106
37,106
38,107
39,107
40,107
41,107
42,106
43,105
44,104
45,104
46,103
47,102
48,102
49,102
50,102
51,103
52,104
53,105
54,107
55,108
56,110
57,111
58,112
59,113
60,113
61,113
62,113
63,111
64,107
65,105
66,103
67,103
68,102
69,102
70,102
71,103
72,103
73,103
74,104
75,104
76,104
77,103
78,103
79,102
80,101
81,101
82,101
83,101
84,101
85,101
86,101
87,102
88,102
89,103
90,103
91,103
92,103
93,103
94,103
95,103
96,104
97,105
98,106
99,107
100,107
101,108
102,108
103,107
104,106
105,105
106,104
107,103
108,102
109,101
110,101
111,100
112,100
113,101
114,101
115,101
116,102
117,102
118,102
119,103
120,103
121,104
122,105
123,105
124,106
125,106
126,107
127,106
128,106
129,105
130,104
131,102
132,101
133,100
134,100
135,100
136,101
137,102
138,102
139,103
140,103
141,103
142,103
143,103
144,103
145,103
146,103
147,103
148,102
149,102
150,102
151,102
152,103
153,103
154,104
155,106
156,108
157,109
158,109
159,110
160,110
161,109
162,108
163,107
164,105
165,104
166,103
167,102
168,102
169,102
170,102
171,102
172,102
173,102
174,103
175,104
176,105
177,105
178,105
179,105
180,105
181,105
182,105
183,105
184,105
185,105
186,105
187,105
188,105
189,105
190,105
191,105
192,105
193,105
194,104
195,104
196,103
197,103
198,103
199,102
200,102
201,102
202,102
203,102
204,102
205,102
206,103
207,103
208,104
209,104
210,104
211,104
212,104
213,104
214,103
215,102
216,101
217,101
218,100
219,100
220,100
221,102
222,104
223,106
224,107
225,107
226,107
227,107
228,107
229,106
230,106
231,105
232,105
233,105
234,104
235,104
236,103
237,102
238,102
239,102
240,103
241,104
242,106
243,107
244,108
245,108
246,109
247,112
248,115
249,117
250,119
251,121
252,124
253,126
254,128
255,130
256,135
257,137
258,140
259,143
260,146
261,148
262,151
263,154
264,158
265,161
266,163
267,166
268,168
269,173
270,176
271,179
272,182
273,183
274,185
275,187
276,192
277,195
278,207
279,220
280,225
281,237
282,255
283,279
284,287
285,303
286,305
287,309
288,317
289,325
290,327
291,330
292,333
293,339
294,343
295,345
296,347
297,349
298,352
299,354
300,357
301,359
302,361
303,362
304,362
305,363
306,365
307,366
308,367
309,367
310,367
311,367
312,367
313,368
314,368
315,369
316,370
317,370
318,371
319,371
320,371
321,371
322,371
323,370
324,370
325,369
326,368
327,368
328,368
329,368
330,368
331,368
332,368
333,368
334,367
335,367
336,366
337,367
338,367
339,368
340,369
341,369
342,369
343,369
344,369
345,369
346,368
347,368
348,367
349,366
350,365
351,365
352,365
353,364
354,365
355,365
356,365
357,366
358,367
359,367
360,368
361,368
362,368
363,367
364,367
365,367
366,367
367,368
368,369
369,369
370,369
371,369
372,369
373,369
374,368
375,368
376,367
377,367
378,367
379,367
380,367
381,368
382,369
383,369
384,369
385,369
386,369
387,368
388,367
389,367
390,367
391,367
392,367
393,366
394,366
395,366
396,365
397,365
398,366
399,367
400,368
401,369
402,369
403,369
404,369
405,369
406,369
407,369
408,369
409,369
410,368
411,368
412,368
413,367
414,368
415,368
416,369
417,369
418,370
419,370
420,371
421,371
422,371
423,371
424,370
425,370
426,370
427,370
428,370
429,370
430,370
431,370
432,369
433,370
434,370
435,370
436,370
437,370
438,369
439,369
440,368
441,368
442,368
443,368
444,368
445,368
446,368
447,368
448,368
449,368
450,369
451,370
452,370
453,371
454,371
455,372
456,371
457,371
458,371
459,370
460,370
461,370
462,370
463,370
464,370
465,370
466,369
467,368
468,368
469,368
470,368
471,368
472,368
473,369
474,369
475,369
476,369
477,369
478,368
479,368
480,367
481,367
482,367
483,367
484,367
485,367
486,367
487,367
488,367
489,366
490,365
491,364
492,363
493,363
494,363
495,363
496,363
497,362
498,361
499,359
500,358
501,356
502,354
503,351
504,347
505,345
506,340
507,335
508,332
509,328
510,324
511,322
512,316
513,313
514,303
515,292
516,284
517,266
518,248
519,239
520,221
521,212
522,209
523,202
524,196
525,193
526,188
527,186
528,184
529,181
530,178
531,176
532,173
533,169
534,166
535,160
536,157
537,154
538,149
539,147
540,145
541,144
542,143
543,142
544,138
545,132
546,130
547,129
548,127
549,122
550,119
551,116
552,114
553,111
554,109
555,107
556,106
557,105
558,105
559,104
560,104
561,104
562,103
563,103
564,102
565,102
566,101
567,101
568,102
569,102
570,103
571,103
572,104
573,104
574,104
575,104
576,104
577,104
578,104
579,104
580,104
581,103
582,102
583,102
584,102
585,102
586,103
587,104
588,105
589,105
590,106
591,106
592,106
593,105
594,104
595,104
596,104
597,105
598,105
599,105
600,105
601,105
602,105
603,105
604,105
605,105
606,106
607,107
608,108
609,108
610,108
611,108
612,107
613,107
614,107
615,106
616,105
617,104
618,104
619,103
620,102
621,101
622,100
623,100
624,100
625,100
626,99
627,99
628,99
629,99
630,98
631,99
632,99
633,101
634,103
635,106
636,107
637,108
638,108
639,108
640,108
641,108
642,108
643,108
644,108
645,108
646,108
647,107
648,107
649,106
650,105
651,106
652,106
653,106
654,107
655,106
656,106
657,105
658,105
659,105
660,105
661,104
662,104
663,104
664,105
665,105
666,105
667,105
668,105
669,104
670,104
671,104
672,104
673,104
674,104
675,103
676,103
677,103
678,103
679,102
680,102
681,101
682,101
683,102
684,103
685,104
686,105
687,106
688,107
689,107
690,107
691,107
692,106
693,106
694,105
695,104
696,103
697,103
698,103
699,103
700,104
701,104
702,104
703,104
704,105
705,105
706,105
707,105
708,105
709,105
710,105
711,104
712,103
713,103
714,103
715,103
716,104
717,105
718,106
719,106
720,106
721,106
722,106
723,106
724,106
725,106
726,105
727,105
728,105
729,105
730,106
731,106
732,106
733,106
734,106
735,107
736,107
737,107
738,106
739,105
740,104
741,104
742,104
743,104
744,104
745,104
746,104
747,103
748,103
749,102
750,102
751,102
752,102
753,102
754,103
755,105
756,106
757,106
758,106
759,106
760,106
761,106
762,105
763,104
764,104
765,103
766,102
767,102
768,102
769,103
770,104
771,104
772,105
773,105
774,105
775,106
776,106
777,105
778,105
779,105
780,105
781,105
782,105
783,105
784,105
785,104
786,104
787,103
788,103
789,103
790,103
791,103
792,103
793,102
794,102
795,101
796,101
797,101
798,101
799,101
