x,y
0,271
1,269
2,264
3,261
4,256
5,241
6,227
7,222
8,219
9,216
10,210
11,208
12,207
13,207
14,207
15,207
16,207
17,207
18,206
19,206
20,205
21,204
22,203
23,203
24,202
25,202
26,201
27,200
28,199
29,199
30,200
31,200
32,203
33,204
34,205
35,205
36,205
37,205
38,205
39,205
40,205
41,205
42,205
43,205
44,205
45,204
46,204
47,204
48,204
49,206
50,208
51,211
52,212
53,214
54,214
55,215
56,215
57,215
58,214
59,213
60,212
61,211
62,211
63,210
64,210
65,208
66,207
67,206
68,206
69,207
70,209
71,211
72,212
73,212
74,213
75,212
76,212
77,211
78,210
79,209
80,208
81,207
82,207
83,206
84,206
85,207
86,208
87,210
88,215
89,222
90,418
91,430
92,441
93,445
94,449
95,455
96,462
97,466
98,469
99,472
100,478
101,481
102,485
103,488
104,490
105,492
106,494
107,497
108,500
109,502
110,504
111,507
112,510
113,513
114,514
115,515
116,518
117,520
118,521
119,522
120,523
121,523
122,523
123,523
124,523
125,523
126,523
127,523
128,524
129,525
130,527
131,529
132,529
133,530
134,530
135,531
136,531
137,532
138,533
139,534
140,534
141,534
142,534
143,534
144,534
145,534
146,534
147,535
148,535
149,536
150,536
151,536
152,536
153,536
154,536
155,536
156,537
157,537
158,537
159,537
160,537
161,536
162,535
163,535
164,536
165,536
166,536
167,536
168,536
169,535
170,535
171,535
172,536
173,537
174,538
175,539
176,540
177,541
178,541
179,541
180,542
181,543
182,544
183,545
184,545
185,544
186,544
187,543
188,543
189,542
190,542
191,541
192,541
193,540
194,540
195,540
196,539
197,539
198,539
199,539
200,539
201,540
202,540
203,540
204,541
205,541
206,541
207,542
208,542
209,542
210,542
211,542
212,541
213,541
214,541
215,541
216,541
217,541
218,541
219,541
220,541
221,540
222,539
223,538
224,537
225,536
226,536
227,537
228,539
229,540
230,541
231,541
232,542
233,542
234,543
235,543
236,544
237,544
238,544
239,544
240,544
241,544
242,544
243,544
244,544
245,545
246,545
247,546
248,547
249,547
250,547
251,547
252,547
253,547
254,546
255,546
256,545
257,545
258,544
259,543
260,542
261,542
262,541
263,541
264,541
265,542
266,542
267,542
268,542
269,541
270,541
271,541
272,540
273,540
274,540
275,540
276,540
277,540
278,540
279,541
280,541
281,542
282,543
283,543
284,543
285,543
286,542
287,542
288,541
289,541
290,540
291,540
292,540
293,540
294,540
295,540
296,540
297,540
298,540
299,540
300,541
301,541
302,542
303,542
304,542
305,541
306,541
307,539
308,538
309,537
310,537
311,537
312,537
313,537
314,538
315,539
316,539
317,540
318,540
319,540
320,540
321,540
322,540
323,541
324,542
325,542
326,542
327,541
328,540
329,540
330,539
331,539
332,538
333,538
334,537
335,537
336,537
337,537
