x,y
0,147
1,145
2,143
3,138
4,136
5,135
6,134
7,134
8,133
9,133
10,132
11,132
12,132
13,132
14,133
15,134
16,135
17,136
18,136
19,136
20,136
21,135
22,135
23,135
24,136
25,136
26,136
27,136
28,136
29,136
30,136
31,135
32,135
33,135
34,135
35,134
36,134
37,134
38,135
39,135
40,135
41,135
42,135
43,136
44,136
45,136
46,136
47,136
48,136
49,136
50,136
51,136
52,136
53,135
54,135
55,134
56,134
57,134
58,135
59,135
60,135
61,135
62,135
63,135
64,136
65,136
66,136
67,136
68,136
69,135
70,135
71,134
72,135
73,135
74,136
75,136
76,136
77,136
78,136
79,136
80,136
81,135
82,135
83,134
84,133
85,133
86,133
87,133
88,134
89,134
90,134
91,134
92,134
93,134
94,135
95,135
96,136
97,136
98,136
99,136
100,136
101,135
102,135
103,134
104,134
105,134
106,134
107,134
108,134
109,134
110,134
111,135
112,135
113,134
114,134
115,134
116,134
117,134
118,134
119,135
120,135
121,136
122,138
123,138
124,138
125,138
126,138
127,137
128,136
129,136
130,136
131,136
132,135
133,135
134,134
135,134
136,135
137,136
138,144
139,151
140,161
141,169
142,190
143,197
144,210
145,220
146,225
147,300
148,303
149,305
150,313
151,315
152,317
153,318
154,320
155,322
156,324
157,325
158,327
159,328
160,329
161,330
162,330
163,330
164,331
165,331
166,331
167,331
168,331
169,332
170,332
171,333
172,333
173,333
174,334
175,334
176,334
177,335
178,335
179,335
180,335
181,336
182,336
183,336
184,337
185,338
186,338
187,338
188,338
189,338
190,338
191,339
192,338
193,338
194,338
195,338
196,338
197,338
198,339
199,339
200,339
201,339
202,339
203,338
204,337
205,337
206,337
207,337
208,337
209,338
210,338
211,338
212,338
213,338
214,338
215,338
216,338
217,338
218,338
219,337
220,337
221,337
222,338
223,338
224,337
225,336
226,335
227,334
228,333
229,333
230,333
231,333
232,334
233,334
234,334
235,334
236,333
237,332
238,330
239,327
240,325
241,323
242,323
243,322
244,321
245,320
246,319
247,318
248,317
249,315
250,312
251,309
252,300
253,295
254,223
255,211
256,207
257,195
258,178
259,169
260,152
261,148
262,142
263,139
264,138
265,138
266,137
267,137
268,137
269,137
270,138
271,137
272,137
273,136
274,136
275,136
276,136
277,137
278,137
279,138
280,138
281,138
282,138
283,138
284,137
285,137
286,137
287,137
288,137
289,137
290,138
291,137
292,137
293,136
294,136
295,135
296,135
297,135
298,135
299,135
300,135
301,135
302,136
303,137
304,137
305,137
306,137
307,137
308,137
309,137
310,136
311,136
312,135
313,135
314,135
315,135
316,135
317,136
318,136
319,137
320,137
321,137
322,137
323,137
324,136
325,136
326,135
327,135
328,134
329,134
330,135
331,135
332,135
333,135
334,136
335,138
336,140
337,141
338,144
339,150
340,165
341,169
342,185
343,197
344,202
345,209
346,226
347,301
348,304
349,308
350,313
351,320
352,322
353,323
354,324
355,325
356,325
357,326
358,326
359,326
360,327
361,327
362,327
363,328
364,328
365,328
366,329
367,329
368,330
369,330
370,330
371,331
372,331
373,331
374,331
375,332
376,332
377,332
378,333
379,333
380,333
381,334
382,335
383,335
384,336
385,337
386,338
387,338
388,337
389,337
390,336
391,336
392,335
393,335
394,335
395,335
396,336
397,337
398,337
399,337
400,337
401,337
402,337
403,337
404,337
405,338
406,338
407,339
408,339
409,339
410,339
411,339
412,339
413,339
414,339
415,339
416,338
417,338
418,338
419,337
420,337
421,336
422,336
423,335
424,335
425,334
426,333
427,332
428,331
429,330
430,330
431,330
432,330
433,331
434,331
435,332
436,332
437,332
438,332
439,332
440,331
441,330
442,324
443,322
444,320
445,318
446,316
447,315
448,313
449,311
450,309
451,307
452,305
453,300
454,224
455,212
456,197
457,189
458,179
459,173
460,167
461,156
462,143
463,139
464,136
465,135
466,134
467,133
468,133
469,134
470,134
471,135
472,135
473,136
474,136
475,136
476,136
477,136
478,136
479,135
480,135
481,134
482,134
483,134
484,134
485,133
486,133
487,133
488,133
489,133
490,133
491,133
492,133
493,134
494,134
495,134
496,134
497,134
498,134
499,134
500,135
501,135
502,137
503,138
504,139
505,140
506,140
507,139
508,138
509,137
510,136
511,135
512,135
513,135
514,136
515,136
516,136
517,136
518,136
519,136
520,136
521,136
522,136
523,135
524,135
525,134
526,134
527,134
528,134
529,134
530,134
531,134
532,134
533,134
534,134
535,135
536,136
537,140
538,142
539,147
540,165
541,172
542,180
543,198
544,215
545,218
546,296
547,299
548,305
549,310
550,314
551,319
552,321
553,323
554,324
555,326
556,327
557,328
558,329
559,329
560,330
561,330
562,329
563,329
564,329
565,330
566,331
567,332
568,333
569,334
570,334
571,334
572,334
573,334
574,334
575,334
576,334
577,335
578,335
579,336
580,336
581,336
582,336
583,336
584,337
585,337
586,337
587,337
588,337
589,337
590,337
591,337
592,337
593,337
594,337
595,338
596,338
597,339
598,339
599,340
600,340
601,340
602,340
603,340
604,340
605,340
606,340
607,340
608,340
609,339
610,338
611,338
612,338
613,338
614,338
615,338
616,338
617,338
618,337
619,334
620,333
621,331
622,330
623,330
624,330
625,331
626,332
627,334
628,335
629,335
630,335
631,334
632,334
633,333
634,333
635,332
636,332
637,331
638,330
639,329
640,328
641,326
642,324
643,323
644,321
645,320
646,318
647,316
648,314
649,311
650,308
651,305
652,302
653,295
654,289
655,210
656,203
657,191
658,186
659,181
660,159
661,143
662,137
663,135
664,134
665,134
666,134
667,135
668,135
669,135
670,135
671,135
672,135
673,135
674,135
675,135
676,135
677,135
678,135
679,135
680,135
681,135
682,135
683,135
684,135
685,135
686,135
687,136
688,137
689,137
690,138
691,138
692,138
693,139
694,139
695,139
696,140
697,146
698,156
699,158
700,157
701,156
702,153
703,148
704,144
705,138
706,137
707,137
708,137
709,137
710,137
711,137
712,137
713,137
714,137
715,137
716,137
717,138
718,139
719,139
720,139
721,139
722,138
723,138
724,137
725,137
726,136
727,136
728,136
729,136
730,136
731,136
732,135
733,135
734,136
735,136
736,136
737,136
738,136
739,137
740,137
741,138
742,138
743,139
744,139
745,139
746,140
747,141
748,141
749,141
750,141
751,139
752,138
753,137
754,136
755,134
756,134
757,134
758,134
759,134
760,134
761,134
762,134
763,133
764,133
765,134
766,135
767,136
768,137
769,138
770,138
771,139
772,139
773,139
774,139
775,138
776,137
777,137
778,137
779,137
780,137
781,137
782,137
783,138
784,138
785,138
786,138
787,137
788,137
789,136
790,135
791,135
792,135
793,135
794,134
795,133
796,132
797,132
