x,y
0,105
1,105
2,105
3,104
4,104
5,104
6,104
7,104
8,105
9,105
10,106
11,107
12,107
13,108
14,108
15,107
16,107
17,107
18,107
19,107
20,106
21,106
22,106
23,106
24,106
25,106
26,106
27,105
28,105
29,105
30,106
31,106
32,107
33,107
34,107
35,106
36,106
37,107
38,107
39,107
40,107
41,106
42,105
43,105
44,104
45,104
46,103
47,103
48,103
49,104
50,104
51,105
52,105
53,105
54,106
55,106
56,107
57,107
58,108
59,108
60,107
61,107
62,106
63,105
64,104
65,104
66,103
67,103
68,103
69,103
70,104
71,104
72,104
73,104
74,104
75,105
76,105
77,105
78,106
79,106
80,106
81,106
82,106
83,107
84,107
85,107
86,107
87,107
88,108
89,108
90,109
91,109
92,109
93,109
94,108
95,108
96,107
97,107
98,106
99,106
100,105
101,104
102,104
103,103
104,103
105,102
106,102
107,103
108,103
109,104
110,105
111,105
112,105
113,105
114,106
115,106
116,107
117,107
118,108
119,108
120,108
121,107
122,107
123,107
124,107
125,107
126,107
127,107
128,106
129,106
130,105
131,105
132,104
133,103
134,102
135,102
136,102
137,102
138,102
139,103
140,103
141,104
142,105
143,107
144,108
145,108
146,108
147,107
148,107
149,107
150,107
151,107
152,108
153,108
154,109
155,109
156,109
157,108
158,108
159,108
160,108
161,108
162,108
163,107
164,107
165,107
166,107
167,108
168,109
169,109
170,109
171,108
172,107
173,107
174,106
175,106
176,105
177,105
178,105
179,105
180,104
181,104
182,103
183,103
184,103
185,104
186,106
187,107
188,107
189,108
190,108
191,108
192,108
193,108
194,108
195,108
196,108
197,107
198,107
199,107
200,107
201,107
202,107
203,107
204,107
205,107
206,107
207,107
208,107
209,107
210,107
211,107
212,107
213,107
214,107
215,107
216,107
217,107
218,107
219,107
220,107
221,107
222,106
223,106
224,106
225,107
226,108
227,108
228,109
229,109
230,109
231,109
232,108
233,108
234,108
235,108
236,109
237,109
238,109
239,108
240,108
241,108
242,107
243,107
244,106
245,105
246,105
247,104
248,104
249,104
250,104
251,104
252,105
253,105
254,105
255,105
256,106
257,107
258,108
259,109
260,109
261,110
262,110
263,110
264,109
265,108
266,106
267,106
268,106
269,107
270,108
271,109
272,111
273,113
274,116
275,122
276,129
277,135
278,139
279,142
280,150
281,157
282,162
283,170
284,176
285,182
286,189
287,196
288,299
289,306
290,309
291,315
292,321
293,323
294,325
295,328
296,332
297,334
298,337
299,341
300,343
301,344
302,345
303,346
304,347
305,348
306,349
307,349
308,350
309,350
310,350
311,351
312,351
313,351
314,352
315,352
316,351
317,352
318,352
319,352
320,352
321,352
322,352
323,353
324,353
325,353
326,353
327,353
328,354
329,354
330,354
331,354
332,353
333,353
334,353
335,353
336,353
337,353
338,354
339,354
340,354
341,354
342,354
343,354
344,354
345,353
346,353
347,353
348,353
349,353
350,353
351,353
352,353
353,353
354,353
355,353
356,353
357,353
358,353
359,353
360,353
361,353
362,353
363,353
364,353
365,353
366,353
367,353
368,353
369,353
370,353
371,353
372,353
373,353
374,353
375,353
376,353
377,353
378,352
379,352
380,352
381,352
382,352
383,352
384,352
385,352
386,352
387,352
388,352
389,352
390,353
391,353
392,354
393,355
394,355
395,355
396,354
397,354
398,354
399,354
400,354
401,353
402,353
403,353
404,352
405,352
406,352
407,352
408,352
409,352
410,352
411,352
412,352
413,352
414,352
415,352
416,352
417,352
418,353
419,353
420,353
421,354
422,354
423,354
424,354
425,354
426,354
427,354
428,354
429,354
430,354
431,353
432,353
433,353
434,353
