x,y
0,195
1,194
2,192
3,190
4,188
5,181
6,171
7,169
8,168
9,168
10,169
11,170
12,170
13,171
14,171
15,171
16,171
17,171
18,171
19,171
20,170
21,169
22,168
23,167
24,165
25,164
26,163
27,162
28,162
29,162
30,163
31,165
32,166
33,166
34,166
35,166
36,166
37,167
38,167
39,167
40,167
41,167
42,167
43,167
44,167
45,167
46,168
47,168
48,169
49,169
50,170
51,171
52,172
53,173
54,174
55,175
56,175
57,175
58,175
59,175
60,174
61,174
62,174
63,173
64,171
65,170
66,169
67,169
68,169
69,170
70,170
71,171
72,172
73,172
74,173
75,173
76,173
77,173
78,174
79,174
80,174
81,174
82,174
83,173
84,172
85,171
86,171
87,171
88,174
89,180
90,190
91,204
92,211
93,226
94,358
95,363
96,367
97,372
98,378
99,384
100,388
101,391
102,397
103,399
104,400
105,403
106,405
107,407
108,410
109,412
110,414
111,416
112,420
113,421
114,422
115,423
116,424
117,424
118,424
119,424
120,424
121,424
122,424
123,424
124,425
125,425
126,425
127,425
128,426
129,427
130,428
131,428
132,429
133,429
134,429
135,430
136,431
137,432
138,433
139,433
140,433
141,434
142,434
143,434
144,434
145,434
146,434
147,434
148,434
149,433
150,433
151,433
152,433
153,434
154,434
155,434
156,434
157,434
158,433
159,432
160,432
161,431
162,431
163,431
164,431
165,432
166,432
167,431
168,431
169,431
170,430
171,430
172,431
173,431
174,432
175,432
176,433
177,433
178,433
179,434
180,435
181,435
182,435
183,436
184,436
185,435
186,435
187,435
188,435
189,435
190,435
191,435
192,435
193,435
194,436
195,436
196,436
197,435
198,435
199,435
200,435
201,435
202,435
203,435
204,434
205,434
206,434
207,434
208,434
209,434
210,435
211,435
212,434
213,434
214,433
215,433
216,432
217,432
218,432
219,431
220,431
221,431
222,430
223,429
224,429
225,428
226,428
227,428
228,428
229,428
230,428
231,428
232,429
233,431
234,432
235,433
236,433
237,433
238,433
239,433
240,433
241,433
242,433
243,433
244,433
245,434
246,434
247,434
248,434
249,435
250,438
251,439
252,440
253,441
254,441
255,441
256,440
257,438
258,437
259,435
260,435
261,434
262,434
263,435
264,435
265,436
266,436
267,436
268,435
269,434
270,433
271,432
272,432
273,433
274,433
275,433
276,434
277,434
278,434
279,435
280,435
281,435
282,434
283,433
284,432
285,432
286,432
287,431
288,431
289,431
290,431
291,431
292,431
293,432
294,432
295,433
296,434
297,434
298,434
299,435
300,435
301,435
302,435
303,434
304,434
305,433
306,433
307,432
308,431
309,431
310,431
311,432
312,433
313,433
314,434
315,434
316,434
317,434
318,435
319,435
320,436
321,436
322,436
323,436
324,436
325,436
326,436
327,436
328,435
329,434
330,433
331,433
332,433
333,433
334,434
335,434
336,434
337,434
338,434
339,433
340,433
341,433
342,433
343,433
344,433
345,433
346,433
347,433
348,433
349,433
350,432
351,432
352,432
353,431
354,431
355,431
356,432
357,432
358,433
359,433
360,432
361,430
362,428
363,427
364,426
365,426
366,426
367,426
368,426
369,426
370,425
371,424
372,423
373,423
374,422
375,422
376,422
377,422
378,422
379,422
380,422
381,421
382,419
383,417
384,416
385,415
386,414
387,413
388,413
389,413
390,412
391,412
392,411
393,410
394,408
395,407
396,405
397,403
398,399
399,396
400,392
401,384
402,381
403,378
404,376
405,366
406,359
407,227
408,216
409,212
410,197
411,186
412,176
413,172
414,171
415,170
416,170
417,170
418,171
419,172
420,172
421,172
422,173
423,173
424,173
425,172
426,172
427,171
428,170
429,169
430,167
431,167
432,166
433,167
434,167
435,167
436,167
437,166
438,165
439,164
440,164
441,164
442,165
443,165
444,166
445,167
446,168
447,169
448,169
449,170
450,169
451,169
452,168
453,167
454,167
455,168
456,168
457,168
458,168
459,168
460,168
461,169
462,170
463,170
464,170
465,171
466,170
467,170
468,170
469,169
470,168
471,168
472,168
473,168
474,168
475,169
476,169
477,169
478,169
479,169
480,168
481,168
482,167
483,166
484,165
485,165
486,165
487,165
488,166
489,167
490,167
491,167
492,167
493,166
494,166
495,166
496,167
497,168
498,169
499,170
500,171
501,172
502,174
503,175
504,175
505,175
506,174
507,173
508,172
509,171
510,170
511,170
512,170
513,169
514,169
515,169
516,169
517,169
518,169
519,169
520,168
521,168
522,167
523,167
524,167
525,167
526,166
527,166
528,165
529,164
530,163
531,162
532,162
533,163
534,165
535,166
536,167
537,168
538,169
539,169
540,170
541,171
542,171
543,171
544,171
545,170
546,170
547,170
548,170
549,170
550,170
551,170
552,170
553,170
554,170
555,170
556,171
557,171
558,171
559,171
560,170
561,170
562,170
563,170
564,171
565,172
566,172
567,173
568,173
569,173
570,172
571,172
572,172
573,172
574,172
575,172
576,172
577,171
578,170
579,169
580,169
581,169
582,168
583,168
584,169
585,169
586,170
587,172
588,177
589,184
590,189
591,200
592,215
593,220
594,367
595,375
596,382
597,384
598,386
599,390
600,393
601,397
602,400
603,403
604,406
605,407
606,408
607,408
608,410
609,412
610,415
611,417
612,418
613,419
614,420
615,420
616,421
617,421
618,422
619,422
620,423
621,423
622,423
623,424
624,424
625,424
626,425
627,426
628,426
629,427
630,428
631,428
632,429
633,430
634,430
635,430
636,430
637,430
638,430
639,430
640,429
641,428
642,428
643,428
644,428
645,429
646,430
647,431
648,432
649,433
650,433
651,433
652,432
653,432
654,431
655,431
656,431
657,431
658,431
659,431
660,431
661,430
662,430
663,430
664,431
665,432
666,433
667,433
668,434
669,434
670,434
671,434
672,434
673,433
674,433
675,433
676,433
677,433
678,433
679,433
680,433
681,433
682,433
683,433
684,433
685,433
686,433
687,432
688,432
689,431
690,431
691,432
692,432
693,433
694,433
695,433
696,433
697,433
698,434
699,434
700,434
701,434
702,434
703,434
704,433
705,433
706,434
707,434
708,434
709,435
710,435
711,434
712,433
713,432
714,432
715,432
716,433
717,433
718,434
719,434
720,434
721,433
722,432
723,431
724,431
725,431
726,432
727,434
728,435
729,435
730,435
731,435
732,435
733,434
734,434
735,434
736,435
737,436
738,436
739,437
740,437
741,436
742,435
743,433
744,432
745,431
746,431
747,432
748,432
749,433
750,433
751,434
752,434
753,435
754,436
755,436
756,436
757,436
758,435
759,434
760,433
761,433
762,432
763,432
764,432
765,432
766,431
767,431
768,431
769,431
770,431
771,431
772,431
773,432
774,431
775,431
776,431
777,431
778,431
779,433
780,434
781,434
782,435
783,435
784,435
785,435
786,434
787,434
788,434
789,434
790,434
791,434
792,434
793,434
794,434
795,433
796,433
797,432
798,432
799,431
800,431
801,432
802,433
803,434
804,435
805,435
806,434
807,433
808,433
809,432
810,431
811,430
812,430
813,431
814,431
815,432
816,433
817,434
818,434
819,434
820,433
821,433
822,433
823,433
824,434
825,435
826,435
827,436
828,436
829,436
830,436
831,435
832,435
833,435
834,435
835,435
836,435
837,435
838,435
839,435
840,434
841,433
842,432
843,431
844,431
845,432
846,432
847,432
848,432
849,432
850,432
851,432
852,432
853,432
854,432
855,432
856,432
857,431
858,430
859,430
860,429
861,429
862,429
863,429
864,429
865,429
866,429
867,428
868,428
869,427
870,426
871,426
872,426
873,426
874,427
875,426
876,425
877,425
878,424
879,424
880,423
881,422
882,419
883,417
884,417
885,416
886,416
887,415
888,415
889,414
890,414
891,413
892,412
893,411
894,408
895,406
896,404
897,401
898,396
899,393
900,390
901,385
902,381
903,376
904,374
905,370
906,367
907,363
908,220
909,211
910,193
911,180
912,177
913,173
914,172
915,171
916,171
917,170
918,169
919,167
920,167
921,166
922,166
923,166
924,166
925,166
926,166
927,166
928,166
929,167
930,167
931,167
932,167
933,167
934,168
935,168
936,168
937,168
938,168
939,168
940,168
941,169
942,169
943,169
944,169
945,169
946,169
947,169
948,169
949,169
950,169
951,169
952,169
953,169
954,169
955,170
956,171
957,172
958,173
959,173
960,173
961,173
962,173
963,172
964,172
965,171
966,170
967,170
968,169
969,169
970,169
971,168
972,167
973,166
974,164
975,164
976,164
977,165
978,166
979,168
980,169
981,170
982,171
983,171
984,171
985,171
986,171
987,171
988,170
989,170
990,169
991,169
992,170
993,172
994,173
995,176
996,186
997,191
998,198
999,199
