x,y
0,187
1,188
2,188
3,188
4,188
5,187
6,187
7,186
8,185
9,185
10,185
11,185
12,186
13,187
14,187
15,188
16,188
17,188
18,187
19,187
20,187
21,187
22,187
23,187
24,187
25,186
26,186
27,185
28,184
29,184
30,184
31,184
32,185
33,185
34,186
35,187
36,188
37,190
38,191
39,192
40,192
41,192
42,192
43,191
44,189
45,188
46,187
47,187
48,186
49,186
50,186
51,186
52,186
53,186
54,185
55,185
56,185
57,186
58,186
59,186
60,186
61,187
62,187
63,188
64,189
65,189
66,190
67,190
68,191
69,191
70,191
71,191
72,190
73,190
74,188
75,188
76,187
77,187
78,187
79,187
80,188
81,188
82,189
83,189
84,189
85,189
86,189
87,189
88,189
89,189
90,189
91,189
92,188
93,187
94,186
95,185
96,185
97,185
98,186
99,186
100,187
101,187
102,187
103,187
104,187
105,187
106,188
107,189
108,190
109,191
110,191
111,191
112,190
113,189
114,188
115,188
116,187
117,187
118,188
119,188
120,188
121,188
122,188
123,188
124,187
125,187
126,187
127,187
128,187
129,186
130,186
131,186
132,186
133,187
134,188
135,189
136,190
137,190
138,190
139,190
140,189
141,189
142,190
143,190
144,191
145,192
146,191
147,191
148,190
149,189
150,189
151,189
152,189
153,189
154,189
155,188
156,188
157,188
158,189
159,189
160,190
161,190
162,189
163,189
164,189
165,188
166,188
167,188
168,188
169,187
170,186
171,185
172,185
173,184
174,185
175,185
176,185
177,185
178,186
179,186
180,187
181,187
182,188
183,188
184,188
185,188
186,188
187,188
188,188
189,189
190,188
191,188
192,188
193,187
194,186
195,186
196,186
197,187
198,188
199,188
200,188
201,188
202,188
203,188
204,188
205,188
206,188
207,188
208,189
209,190
210,190
211,190
212,191
213,191
214,191
215,191
216,191
217,191
218,190
219,189
220,188
221,188
222,187
223,187
224,187
225,187
226,188
227,189
228,191
229,192
230,193
231,193
232,192
233,192
234,192
235,193
236,194
237,197
238,199
239,203
240,207
241,210
242,213
243,215
244,221
245,224
246,227
247,233
248,235
249,237
250,239
251,246
252,250
253,253
254,258
255,261
256,265
257,271
258,276
259,279
260,286
261,288
262,290
263,293
264,295
265,297
266,303
267,306
268,311
269,314
270,317
271,319
272,322
273,325
274,332
275,335
276,341
277,344
278,346
279,354
280,357
281,363
282,365
283,369
284,374
285,376
286,380
287,382
288,384
289,388
290,435
291,460
292,466
293,472
294,477
295,482
296,485
297,487
298,488
299,492
300,495
301,498
302,501
303,503
304,505
305,506
306,507
307,509
308,510
309,510
310,511
311,511
312,511
313,511
314,512
315,512
316,512
317,512
318,512
319,512
320,512
321,513
322,514
323,514
324,515
325,515
326,515
