x,y
0,217
1,217
2,217
3,218
4,218
5,217
6,217
7,217
8,217
9,218
10,219
11,220
12,220
13,220
14,220
15,220
16,219
17,218
18,218
19,217
20,217
21,218
22,219
23,220
24,221
25,221
26,220
27,220
28,220
29,220
30,220
31,220
32,220
33,220
34,220
35,220
36,219
37,219
38,218
39,218
40,217
41,216
42,216
43,216
44,217
45,218
46,220
47,220
48,220
49,220
50,220
51,220
52,219
53,219
54,218
55,217
56,215
57,215
58,214
59,214
60,215
61,216
62,219
63,221
64,221
65,222
66,222
67,222
68,222
69,221
70,221
71,220
72,220
73,219
74,219
75,218
76,218
77,219
78,219
79,220
80,221
81,222
82,222
83,222
84,223
85,223
86,223
87,223
88,223
89,223
90,222
91,220
92,219
93,218
94,218
95,217
96,217
97,218
98,218
99,218
100,218
101,218
102,219
103,219
104,220
105,220
106,219
107,219
108,219
109,219
110,219
111,219
112,220
113,220
114,220
115,220
116,220
117,219
118,219
119,219
120,219
121,219
122,219
123,219
124,219
125,219
126,218
127,218
128,218
129,217
130,217
131,217
132,218
133,218
134,219
135,220
136,221
137,222
138,222
139,222
140,221
141,221
142,221
143,221
144,220
145,220
146,220
147,220
148,221
149,222
150,222
151,222
152,221
153,221
154,221
155,221
156,221
157,221
158,221
159,221
160,220
161,220
162,219
163,218
164,215
165,215
166,214
167,215
168,215
169,215
170,216
171,216
172,216
173,216
174,215
175,215
176,215
177,215
178,215
179,215
180,215
181,216
182,216
183,217
184,219
185,221
186,222
187,223
188,223
189,223
190,223
191,223
192,223
193,222
194,222
195,222
196,221
197,221
198,220
199,220
200,220
201,220
202,221
203,222
204,223
205,223
206,223
207,223
208,223
209,222
210,222
211,221
212,221
213,221
214,221
215,220
216,220
217,220
218,220
219,220
220,220
221,220
222,220
223,220
224,221
225,221
226,221
227,220
228,220
229,219
230,219
231,219
232,219
233,219
234,220
235,221
236,222
237,224
238,226
239,232
240,236
241,241
242,246
243,248
244,251
245,254
246,258
247,264
248,267
249,272
250,274
251,278
252,282
253,285
254,291
255,296
256,300
257,303
258,307
259,310
260,314
261,317
262,319
263,322
264,330
265,334
266,336
267,339
268,344
269,350
270,353
271,355
272,356
273,358
274,361
275,363
276,376
277,382
278,383
279,385
280,416
281,464
282,482
283,506
284,518
285,528
286,537
287,539
288,541
289,543
290,552
291,556
292,559
293,561
294,565
295,569
296,573
297,577
298,579
299,581
300,582
301,584
302,585
303,587
304,591
305,594
306,597
307,598
308,598
309,599
310,599
311,600
312,600
313,601
314,601
315,600
316,600
317,599
318,599
319,599
320,600
321,600
322,601
323,602
324,603
325,603
326,604
327,604
328,604
329,604
330,604
331,604
332,604
333,604
334,604
335,604
336,605
337,605
338,605
339,605
340,605
341,605
342,605
343,605
344,605
345,605
346,606
347,606
348,607
349,608
350,609
351,610
352,610
353,610
354,610
355,609
356,608
357,608
358,607
359,607
360,606
361,606
362,605
363,605
364,605
365,605
366,606
367,606
368,607
369,607
370,608
371,608
372,608
373,608
374,608
375,607
376,607
377,607
378,607
379,607
380,607
381,607
382,607
383,607
384,607
385,607
386,607
387,607
388,607
389,607
390,606
391,606
392,605
393,604
394,604
395,604
396,604
397,604
398,604
399,604
400,604
401,604
402,605
403,605
404,605
405,606
406,606
407,606
408,607
409,606
410,606
411,606
412,605
413,605
414,605
415,604
416,604
417,603
418,603
419,603
420,604
421,604
422,604
423,604
424,604
425,603
426,603
427,603
428,602
429,602
430,602
431,602
432,602
433,602
434,602
435,603
436,603
437,603
438,604
439,604
440,604
441,604
442,604
443,604
444,604
445,604
446,603
447,603
448,602
449,602
450,602
451,602
452,602
453,602
454,603
455,603
456,603
457,603
458,603
459,603
460,603
461,603
462,604
463,604
464,604
465,605
466,605
467,604
468,603
469,602
470,602
471,603
472,604
473,605
474,606
475,606
476,606
477,606
478,606
479,606
480,606
481,606
482,606
483,606
484,606
485,606
486,605
487,605
488,604
489,603
490,603
491,603
492,604
493,604
494,604
495,604
496,604
497,604
498,604
499,604
500,604
501,604
502,604
503,603
504,603
505,603
506,603
507,603
508,603
509,602
510,602
511,601
512,601
513,601
514,602
515,602
516,602
517,602
518,602
519,602
520,601
521,601
522,600
523,601
524,602
525,603
526,604
527,605
528,604
529,604
530,604
531,604
532,604
533,604
534,604
535,604
536,603
537,602
538,602
539,602
540,603
541,606
542,608
543,608
544,609
545,609
546,608
547,608
548,609
549,609
550,609
551,610
552,609
553,609
554,609
555,608
556,607
557,607
558,606
559,605
560,604
561,603
562,602
563,602
564,602
565,602
566,602
567,602
568,602
569,603
570,605
571,606
572,606
573,606
574,606
575,605
576,605
577,604
578,604
579,603
580,603
581,602
582,602
583,602
584,602
585,603
586,603
587,603
588,603
589,602
590,602
591,601
592,601
593,601
594,601
